customerXXX01@dbs.com,CustomerXXX 01,+62 8123456789,"0025",01/01/1980
customerXXX02@dbs.com,CustomerXXX 02,+62 8123456789,"0025",02/01/1980
customerXXX10@dbs.com,CustomerXXX 10,+62 8123456789,"0012",03/01/1980
customerXXX07@dbs.com,CustomerXXX 07,+62 8123456789,"0025",04/01/1980
customerXXX08@dbs.com,CustomerXXX 08,+62 8123456789,"0025",05/01/1980
customerXXX11@dbs.com,CustomerXXX 11,+62 8123456789,"0012",06/01/1980
customerXXX09@dbs.com,CustomerXXX 09,+62 8123456789,"0012",07/01/1980
customerXXX03@dbs.com,CustomerXXX 03,+62 8123456789,"0025",08/01/1980
customerXXX04@dbs.com,CustomerXXX 04,+62 8123456789,"0025",09/01/1980
customerXXX06@dbs.com,CustomerXXX 06,+62 8123456789,"0025",10/01/1980
customerXXX12@dbs.com,CustomerXXX 12,+62 8123456789,"0012",11/01/1980
customerXXX05@dbs.com,CustomerXXX 05,+62 8123456789,"0025",12/01/1980
